team,week,R,HR,RBI,SB,AVG,K,QS,SV,ERA,WHIP
DBAM,1,64.0,21.0,72.0,5.0,0.22985782,101.0,6.0,1.0,5.03571429,1.47619048
DBAM,2,32.0,7.0,29.0,2.0,0.20357143,66.0,4.0,1.0,4.32596685,1.17679558
DBAM,3,41.0,16.0,36.0,3.0,0.23624595,63.0,3.0,4.0,5.24117647,1.44705882
DBAM,4,52.0,17.0,46.0,6.0,0.26644737,82.0,3.0,4.0,3.12631579,1.12105263
DBAM,5,51.0,7.0,32.0,3.0,0.2233677,73.0,4.0,1.0,4.26315789,1.19138756
DBAM,6,43.0,13.0,48.0,7.0,0.29337539,66.0,5.0,3.0,3.46153846,1.36923077
DBAM,7,49.0,18.0,50.0,5.0,0.2733119,85.0,2.0,4.0,4.29850746,1.40298507
DBAM,8,26.0,7.0,36.0,2.0,0.24242424,70.0,3.0,1.0,4.04278075,1.23529412
DBAM,9,47.0,10.0,51.0,4.0,0.26440678,65.0,5.0,1.0,4.03448276,1.20689655
DBAM,10,42.0,9.0,32.0,2.0,0.22695035,64.0,4.0,0.0,4.93548387,1.38709677
DBAM,13,58.0,20.0,61.0,7.0,0.26058632,61.0,3.0,0.0,4.98461538,1.44615385
DBAM,14,71.0,19.0,69.0,6.0,0.28318584,95.0,5.0,3.0,3.67741935,1.23655914
DBAM,15,46.0,12.0,38.0,6.0,0.24913495,71.0,4.0,2.0,3.21428571,1.0
DBAM,16,48.0,18.0,44.0,2.0,0.26440678,76.0,5.0,5.0,2.60869565,1.11594203
DBAM,17,55.0,17.0,48.0,6.0,0.31292517,71.0,4.0,1.0,3.47938144,1.20618557
DBAM,18,56.0,15.0,46.0,8.0,0.28125,65.0,3.0,0.0,6.03726708,1.41614907
DBAM,19,36.0,9.0,30.0,2.0,0.23484848,70.0,3.0,5.0,4.12105263,1.27894737
DBAM,20,41.0,16.0,40.0,2.0,0.26923077,57.0,5.0,4.0,2.74850299,0.84431138
RKT!,1,59.0,16.0,51.0,7.0,0.25570776,96.0,6.0,2.0,3.48387097,1.25806452
RKT!,2,56.0,17.0,44.0,8.0,0.26625387,72.0,4.0,2.0,5.10810811,1.13513514
RKT!,3,41.0,11.0,40.0,10.0,0.2295082,62.0,5.0,6.0,2.54117647,0.88235294
RKT!,4,59.0,10.0,34.0,5.0,0.25696594,67.0,6.0,0.0,2.87234043,1.14893617
RKT!,5,47.0,9.0,41.0,8.0,0.25149701,71.0,2.0,3.0,4.68947368,1.35789474
RKT!,6,47.0,3.0,31.0,6.0,0.26860841,80.0,4.0,6.0,2.9058296,1.06278027
